"key","groupId","groupName","coordinateX","coordinateY","creationDate","studentsCount","expelledStudents","transferredStudents","semesterEnum","groupAdminName","birthDay","passportId","hairColor"
"47","519854","The Red Ravens","1","10","2023-04-28T10:31:52.103","null","94","92","SEVENTH","Nikita","2040-04-28T10:31:52.336","5J6E3U7G5I8K4P0V93S4N5L7CZ","YELLOW"
"48","695088","The Garnet Gurus","6","10","2023-04-28T10:31:52.589","null","4","91","FIFTH","Harry","2038-04-28T10:31:52.819","5J6E3U7G5I8K4P0V93S4N5L7CZ","YELLOW"
"49","900097","The Red Ravens","4","3","2023-04-28T10:31:53.070","null","92","56","SEVENTH","null","null","null","null"
"5","639505","The Silver Serpents","7","5","2023-04-28T10:31:32.091","null","56","56","SIXTH","Batman","2038-04-28T10:31:32.315","7B9J6S5F8H443D0N2Q1L3K6TV","WHITE"
"50","89502","The Silver Serpents","8","6","2023-04-28T10:31:53.538","null","56","94","SEVENTH","Batman","2039-04-28T10:31:53.761","C3F8P7V9X1D2Z6B5J0K443N7TY","WHITE"
"51","893539","The Sapphire Squad","9","4","2023-04-28T10:31:54.018","null","34","91","EIGHTH","Harry","2038-04-28T10:31:54.247","9W8N7Z5J6L30K34D1H3Q2C8SX","WHITE"
"52","220994","Group Names","8","10","2023-04-28T10:31:54.499","null","93","78","SEVENTH","Nikita","2038-04-28T10:31:54.732","I4G0P65U5V73X9Z2N8K3Q1J6FY","YELLOW"
"53","74321","The Sapphire Squad","3","7","2023-04-28T10:31:54.987","null","4","78","SEVENTH","Bilbo","2040-04-28T10:31:55.217","9V7F5S6W1L8D4Q32M0J6P5H3KX","WHITE"
"54","416115","The Emerald Eagles","4","3","2023-04-28T10:31:55.471","null","34","93","SEVENTH","null","null","null","null"
"55","528079","The Garnet Gurus","6","8","2023-04-28T10:31:55.952","null","91","94","SEVENTH","Mario","2040-04-28T10:31:56.185","9V7F5S6W1L8D4Q32M0J6P5H3KX","BLUE"
"56","459729","Group Names","7","11","2023-04-28T10:31:56.440","null","90","78","FIFTH","Oleg","2038-04-28T10:31:56.671","I4G0P65U5V73X9Z2N8K3Q1J6FY","BLUE"
"57","401944","The Topaz Titans","2","4","2023-04-28T10:31:56.921","null","34","67","SEVENTH","Masha","2038-04-28T10:31:57.153","C3F8P7V9X1D2Z6B5J0K443N7TY","WHITE"
"58","569650","The Emerald Eagles","10","5","2023-04-28T10:31:57.405","null","78","93","FIFTH","Masha","2039-04-28T10:31:57.622","7B9J6S5F8H443D0N2Q1L3K6TV","WHITE"
"59","856410","The Red Ravens","3","10","2023-04-28T10:31:57.866","null","93","56","EIGHTH","Bilbo","2039-04-28T10:31:58.091","I4G0P65U5V73X9Z2N8K3Q1J6FY","BLUE"
"6","729534","The Golden Lions","7","1","2023-04-28T10:31:32.558","null","91","92","FIFTH","Harry","2040-04-28T10:31:32.782","7B9J6S5F8H443D0N2Q1L3K6TV","BLUE"
"60","281196","The Amethyst Alliance","5","5","2023-04-28T10:31:58.339","null","4","78","FIFTH","Masha","2038-04-28T10:31:58.566","9V7F5S6W1L8D4Q32M0J6P5H3KX","WHITE"
"61","939942","The Silver Serpents","10","5","2023-04-28T10:31:58.823","null","94","93","EIGHTH","Batman","2038-04-28T10:31:59.053","9W8N7Z5J6L30K34D1H3Q2C8SX","YELLOW"
"62","884729","The Amethyst Alliance","5","10","2023-04-28T10:31:59.311","null","92","90","SEVENTH","Harry","2040-04-28T10:31:59.537","9V7F5S6W1L8D4Q32M0J6P5H3KX","BLUE"
"63","419357","Group Names","11","10","2023-04-28T10:31:59.783","null","56","92","EIGHTH","Oleg","2038-04-28T10:32:00.016","9W8N7Z5J6L30K34D1H3Q2C8SX","BLUE"
"64","342830","The Onyx Owls","7","1","2023-04-28T10:32:00.278","null","94","89","EIGHTH","Batman","2040-04-28T10:32:00.503","5J6E3U7G5I8K4P0V93S4N5L7CZ","YELLOW"
"65","337122","The Emerald Eagles","11","11","2023-04-28T10:32:00.760","null","4","93","SEVENTH","Ivan","2038-04-28T10:32:00.988","0R2L66K1F3Q8H37N9X4T5J7SZY","BLUE"
"66","271455","The Amethyst Alliance","9","9","2023-04-28T10:32:01.243","null","78","91","FIFTH","Ivan","2040-04-28T10:32:01.470","0R2L66K1F3Q8H37N9X4T5J7SZY","BLUE"
"67","423333","The Golden Lions","1","3","2023-04-28T10:32:01.710","null","67","90","EIGHTH","Masha","2038-04-28T10:32:01.942","X9Z36E5M7D1Q2R8K6J43N5B4LH","YELLOW"
"68","956877","Group Names","10","2","2023-04-28T10:32:02.190","null","67","34","SEVENTH","Masha","2039-04-28T10:32:02.408","1S8K7Z2M4B03N6P5D8F4H7X9QT","WHITE"
"69","265067","The Topaz Titans","3","2","2023-04-28T10:32:02.662","null","90","93","EIGHTH","Sasha","2040-04-28T10:32:02.892","I4G0P65U5V73X9Z2N8K3Q1J6FY","WHITE"
"7","793391","The Diamond Dragons","8","8","2023-04-28T10:31:33.035","null","67","78","SEVENTH","Ivan","2038-04-28T10:31:33.270","1S8K7Z2M4B03N6P5D8F4H7X9QT","BLUE"
"70","475921","The Sapphire Squad","1","6","2023-04-28T10:32:03.135","null","56","67","EIGHTH","Nikita","2038-04-28T10:32:03.365","7B9J6S5F8H443D0N2Q1L3K6TV","WHITE"
"71","982881","The Topaz Titans","4","7","2023-04-28T10:32:03.625","null","78","34","SIXTH","Nikita","2039-04-28T10:32:03.850","7B9J6S5F8H443D0N2Q1L3K6TV","BLUE"
"72","76066","Group Names","5","11","2023-04-28T10:32:04.105","null","67","67","EIGHTH","Bilbo","2038-04-28T10:32:04.332","7B9J6S5F8H443D0N2Q1L3K6TV","WHITE"
"73","84960","The Garnet Gurus","1","8","2023-04-28T10:32:04.582","null","92","89","EIGHTH","Bilbo","2038-04-28T10:32:04.805","X9Z36E5M7D1Q2R8K6J43N5B4LH","WHITE"
"74","146087","The Amethyst Alliance","7","1","2023-04-28T10:32:05.059","null","94","90","SIXTH","Harry","2040-04-28T10:32:05.288","9W8N7Z5J6L30K34D1H3Q2C8SX","WHITE"
"75","779133","The Garnet Gurus","11","8","2023-04-28T10:32:05.564","null","4","91","SIXTH","Mario","2038-04-28T10:32:05.786","C3F8P7V9X1D2Z6B5J0K443N7TY","YELLOW"
"76","84909","The Golden Lions","8","4","2023-04-28T10:32:06.046","null","93","67","FIFTH","Batman","2040-04-28T10:32:06.275","7B9J6S5F8H443D0N2Q1L3K6TV","BLUE"
"77","972019","The Emerald Eagles","1","11","2023-04-28T10:32:06.535","null","56","91","SEVENTH","Batman","2039-04-28T10:32:06.765","X9Z36E5M7D1Q2R8K6J43N5B4LH","YELLOW"
"78","700053","The Red Ravens","11","8","2023-04-28T10:32:07.019","null","89","34","FIFTH","Nikita","2040-04-28T10:32:07.249","I4G0P65U5V73X9Z2N8K3Q1J6FY","YELLOW"
"79","614309","The Onyx Owls","7","7","2023-04-28T10:32:07.503","null","93","91","SIXTH","Sasha","2039-04-28T10:32:07.732","7B9J6S5F8H443D0N2Q1L3K6TV","BLUE"
"8","294836","The Amethyst Alliance","9","10","2023-04-28T10:31:33.515","null","56","67","EIGHTH","Oleg","2040-04-28T10:31:33.755","5J6E3U7G5I8K4P0V93S4N5L7CZ","WHITE"
"80","858352","Group Names","7","11","2023-04-28T10:32:07.982","null","4","92","SIXTH","Mario","2038-04-28T10:32:08.204","9V7F5S6W1L8D4Q32M0J6P5H3KX","WHITE"
"81","1375","The Golden Lions","7","9","2023-04-28T10:32:08.470","null","56","34","EIGHTH","Nikita","2038-04-28T10:32:08.688","0R2L66K1F3Q8H37N9X4T5J7SZY","WHITE"
"82","287658","The Onyx Owls","1","8","2023-04-28T10:32:08.944","null","56","67","EIGHTH","Ivan","2039-04-28T10:32:09.168","X9Z36E5M7D1Q2R8K6J43N5B4LH","BLUE"
"83","610304","The Emerald Eagles","1","5","2023-04-28T10:32:09.454","null","34","78","SEVENTH","Sasha","2040-04-28T10:32:09.670","I4G0P65U5V73X9Z2N8K3Q1J6FY","YELLOW"
"84","53223","The Silver Serpents","6","9","2023-04-28T10:32:09.924","null","94","91","FIFTH","Ivan","2040-04-28T10:32:10.144","9W8N7Z5J6L30K34D1H3Q2C8SX","BLUE"
"85","136071","The Silver Serpents","11","7","2023-04-28T10:32:10.405","null","92","78","FIFTH","Bilbo","2040-04-28T10:32:10.630","X9Z36E5M7D1Q2R8K6J43N5B4LH","BLUE"
"86","6681","The Red Ravens","6","8","2023-04-28T10:32:10.893","null","93","243","FIFTH","Oleg","2039-04-28T10:32:11.116","5J6E3U7G5I8K4P0V93S4N5L7CZ","WHITE"
"87","946794","The Red Ravens","4","9","2023-04-28T10:32:11.379","null","94","91","SEVENTH","Nikita","2040-04-28T10:32:11.599","I4G0P65U5V73X9Z2N8K3Q1J6FY","BLUE"
"88","563749","The Emerald Eagles","7","3","2023-04-28T10:32:11.862","null","92","67","EIGHTH","Sasha","2039-04-28T10:32:12.081","EC1M2J8W8VX9J0LZ6N1D2Q35TY","YELLOW"
"89","47892","Group Names","6","5","2023-04-28T10:32:12.343","null","93","67","FIFTH","Oleg","2039-04-28T10:32:12.564","EC1M2J8W8VX9J0LZ6N1D2Q35TY","BLUE"
"9","719083","The Emerald Eagles","8","8","2023-04-28T10:31:34.005","null","93","56","FIFTH","Oleg","2040-04-28T10:31:34.242","9V7F5S6W1L8D4Q32M0J6P5H3KX","YELLOW"
"90","708235","The Topaz Titans","3","3","2023-04-28T10:32:12.825","null","78","94","EIGHTH","Bilbo","2038-04-28T10:32:13.079","C3F8P7V9X1D2Z6B5J0K443N7TY","BLUE"
"91","627011","The Silver Serpents","8","2","2023-04-28T10:32:13.331","null","34","94","FIFTH","Masha","2039-04-28T10:32:13.549","5J6E3U7G5I8K4P0V93S4N5L7CZ","WHITE"
"92","395963","The Onyx Owls","8","1","2023-04-28T10:32:13.792","null","4","92","EIGHTH","Nikita","2039-04-28T10:32:14.023","X9Z36E5M7D1Q2R8K6J43N5B4LH","BLUE"
"93","929647","The Amethyst Alliance","11","7","2023-04-28T10:32:14.283","null","92","243","EIGHTH","Nikita","2038-04-28T10:32:14.517","9W8N7Z5J6L30K34D1H3Q2C8SX","WHITE"
"94","424239","The Emerald Eagles","9","7","2023-04-28T10:32:14.781","null","94","89","EIGHTH","Nikita","2038-04-28T10:32:15.008","5J6E3U7G5I8K4P0V93S4N5L7CZ","WHITE"
"95","352534","The Diamond Dragons","4","6","2023-04-28T10:32:15.266","null","90","78","FIFTH","Nikita","2040-04-28T10:32:15.485","C3F8P7V9X1D2Z6B5J0K443N7TY","WHITE"
"96","609448","The Emerald Eagles","4","5","2023-04-28T10:32:15.754","null","94","89","SEVENTH","Ivan","2039-04-28T10:32:15.975","EC1M2J8W8VX9J0LZ6N1D2Q35TY","BLUE"
"97","754057","The Golden Lions","2","1","2023-04-28T10:32:16.228","null","78","94","SEVENTH","null","null","null","null"
"98","758349","1","1","1","2023-04-28T10:38:54.890","null","1","1","null","null","null","null","null"
"99","510065","The Amethyst Alliance","8","7","2023-04-28T10:32:17.181","null","4","34","EIGHTH","Masha","2038-04-28T10:32:17.399","X9Z36E5M7D1Q2R8K6J43N5B4LH","YELLOW"
"owner","creationTime"
"123","2023-04-25T19:34:33.119"
